battery_mAh,screen_height_cm,screen_width_px,weight_g,internal_memory_GB,color_variety,has_4g,screen_height_px,has_wifi,talk_time_hr,primary_camera_mp,brand_popularity,thickness_cm,screen_width_cm,year_release,ram_MB,front_camera_mp,cpu_cores,has_bluetooth,has_3g,cpu_speed_GHz,has_touchscreen,has_dual_sim,price_range
519,16,645,132,51,2,1,550,1,4,19,10,0.3,1,2021,3763,7,4,1,1,1.6,0,1,3
956,17,1075,143,41,1,1,511,0,12,6,3,1.0,8,2017,3286,1,7,0,1,0.5,1,0,3
1453,10,1311,96,52,5,1,187,1,10,18,7,0.3,1,2018,2373,12,2,0,1,1.6,1,1,2
851,12,1263,200,21,2,0,1171,1,10,7,4,0.4,7,2017,478,3,5,0,1,0.5,0,0,0
1579,17,1739,88,5,4,0,1358,1,12,9,9,0.2,11,2017,3532,0,7,1,0,0.5,0,1,3
1568,5,654,150,33,4,0,413,1,6,20,3,1.0,1,2018,508,16,8,1,1,0.5,1,0,0
1319,18,1152,107,41,5,1,85,1,3,18,5,0.9,5,2019,2227,3,1,1,1,0.9,1,0,1
1310,7,1919,100,51,2,1,178,0,12,0,3,0.6,0,2015,3845,0,4,1,1,2.2,1,1,3
644,12,881,157,22,4,0,311,0,15,3,7,0.7,1,2018,1262,0,8,1,1,2.7,0,0,0
725,10,1249,160,60,5,0,1134,0,15,17,5,0.4,4,2022,1326,16,8,0,1,1.3,0,1,1
589,13,815,160,61,4,0,429,1,2,10,9,0.6,7,2021,2113,1,4,1,1,2.3,0,1,1
1725,6,1307,119,6,4,1,609,0,4,18,7,0.5,5,2023,3429,6,2,1,1,1.6,1,1,3
790,6,730,87,11,4,1,347,1,2,17,2,0.3,1,2019,3169,16,6,0,1,2.0,0,1,2
560,18,1613,159,50,3,0,1448,0,11,20,4,0.3,12,2018,2150,15,2,0,1,0.5,1,1,2
1347,18,967,132,44,2,0,434,1,11,14,9,0.6,2,2022,2484,5,1,0,1,2.9,0,0,2
1646,18,1932,185,41,5,1,1725,0,19,10,2,0.2,10,2023,3339,8,2,1,1,2.3,1,0,3
1253,15,714,152,5,5,1,685,0,4,19,10,0.2,0,2021,1878,5,2,1,1,0.5,1,1,1
1656,15,1456,166,34,2,1,880,0,14,7,9,0.1,12,2021,1629,5,3,0,1,1.0,1,0,1
1195,9,1652,110,20,2,1,1580,0,12,14,10,0.8,3,2019,504,1,2,1,1,2.8,1,0,0
1514,8,1810,118,27,2,0,186,1,20,1,5,0.2,3,2018,1152,0,3,0,0,2.9,1,0,1
1723,10,1791,164,42,2,0,202,0,3,14,2,1.0,5,2015,3587,1,8,1,1,1.1,0,1,3
1054,16,774,196,40,1,1,27,1,12,10,4,0.8,12,2021,2296,3,7,1,1,1.8,0,1,1
578,15,1433,162,57,5,1,1025,1,5,8,7,0.2,3,2015,1270,2,8,1,1,2.6,0,1,0
596,16,1854,111,64,1,0,885,0,10,15,8,0.8,13,2015,3238,9,8,0,0,2.1,0,1,3
1547,5,1832,198,14,4,1,1042,1,15,19,3,0.7,0,2019,2059,2,3,1,1,3.0,0,1,2
1760,19,1383,127,63,4,0,1382,0,16,19,1,0.8,12,2023,2053,5,8,0,0,1.4,1,1,2
1654,12,629,109,43,5,1,546,0,10,0,4,0.3,5,2020,3112,0,2,1,1,1.5,1,1,3
1457,17,1287,102,16,4,1,1013,1,12,10,2,0.3,8,2017,1440,1,3,0,1,1.9,0,1,1
1073,6,804,145,51,2,0,690,0,18,0,8,0.5,0,2017,2908,0,7,1,0,0.5,1,1,2
1936,14,1036,104,46,1,1,667,0,13,20,4,0.6,7,2021,2552,10,3,0,1,2.1,0,1,2
823,14,1449,148,60,2,0,822,1,17,19,2,0.5,11,2020,905,13,8,1,1,2.7,1,1,0
987,9,820,107,61,4,1,581,1,20,9,6,0.4,4,2023,3963,0,3,0,1,1.3,0,1,3
1757,7,713,180,49,1,0,265,0,4,14,6,0.5,5,2020,2056,8,6,0,0,0.5,0,0,1
1063,15,683,128,48,2,1,127,1,9,4,10,1.0,13,2019,2910,2,5,0,1,1.4,1,1,2
1484,14,969,134,12,5,0,916,0,20,5,4,0.6,4,2021,1457,3,3,0,1,3.0,1,0,1
799,15,975,144,63,2,1,361,1,6,6,6,0.8,6,2015,431,1,8,1,1,2.3,1,0,0
1156,7,547,159,50,4,1,322,0,15,0,2,0.8,0,2021,470,0,2,1,1,1.2,1,1,0
1720,14,1353,168,55,1,1,753,1,5,18,10,0.5,2,2017,2148,15,2,0,1,2.0,1,0,2
702,10,1570,141,9,5,1,504,0,19,3,2,0.7,4,2023,2955,2,3,0,1,2.6,0,1,2
616,18,1618,81,44,1,1,651,0,13,17,10,0.8,8,2020,3366,13,3,0,1,1.9,1,1,3
1358,9,1858,155,36,5,1,1565,0,4,14,4,0.3,4,2023,3068,11,4,1,1,0.5,1,0,3
1866,16,1781,182,30,1,0,108,0,8,0,8,0.5,11,2019,3834,0,3,0,0,1.4,0,0,3
1242,11,1225,165,10,4,0,459,1,4,1,7,0.6,1,2021,1050,0,2,0,1,1.1,0,1,0
1166,7,603,80,43,5,1,205,0,7,1,9,0.8,1,2018,3993,0,4,0,1,1.5,1,1,3
1448,13,1724,138,45,3,1,570,1,2,11,8,0.8,11,2021,3378,6,7,1,1,0.5,1,1,3
1407,9,1217,104,22,1,1,1172,1,13,4,5,0.7,7,2015,2192,1,4,1,1,2.4,0,0,2
605,15,1026,142,9,1,1,160,0,4,16,2,0.1,6,2021,392,8,3,0,1,1.0,0,0,0
1038,11,638,141,43,2,0,4,1,12,5,5,0.7,0,2022,3709,3,1,0,1,1.2,1,0,3
797,9,1413,90,38,5,0,763,0,6,6,8,0.5,2,2019,590,4,4,1,0,2.9,1,1,0
819,5,1242,188,42,3,1,339,1,13,20,10,0.9,4,2016,1814,8,6,0,1,0.6,0,1,1
1114,10,1071,197,9,4,1,1040,0,17,15,9,0.4,7,2019,907,4,3,0,1,2.8,1,0,0
1234,11,778,172,33,2,0,166,1,6,3,9,0.6,7,2020,1449,1,1,1,0,1.6,0,1,0
1199,17,1552,116,16,3,1,1168,1,10,20,1,0.2,13,2016,3448,15,4,1,1,2.5,0,1,3
1103,8,1486,111,29,5,0,990,1,16,8,9,0.7,7,2020,1837,6,6,0,0,1.0,1,1,1
1589,19,1206,85,58,3,1,319,1,6,7,7,0.9,10,2020,3464,0,7,1,1,0.6,1,1,3
999,14,1616,199,64,1,1,1397,0,16,19,9,0.2,11,2015,2593,11,4,0,1,2.9,1,1,2
1510,9,1752,180,45,1,0,708,1,11,3,8,0.9,6,2015,3484,2,5,1,0,0.9,1,1,3
1008,10,1122,114,61,2,0,1077,0,11,15,1,1.0,3,2017,2009,11,3,0,1,0.8,0,0,1
1127,11,1049,163,57,5,1,928,1,17,13,8,0.8,5,2017,2048,5,1,1,1,2.9,1,1,1
1412,15,1894,96,25,5,0,516,1,4,17,8,0.8,9,2018,837,5,8,1,0,2.4,0,0,1
1496,16,741,182,42,3,0,96,1,7,5,3,0.5,0,2016,854,4,5,1,0,2.0,1,1,0
1083,13,1118,178,64,2,1,1025,0,4,11,1,0.8,3,2023,3210,1,3,1,1,2.9,0,1,3
668,9,1203,155,3,5,0,666,1,8,13,8,0.1,5,2021,2746,0,5,0,1,0.5,1,1,2
1309,10,1402,100,33,1,0,557,1,11,14,3,0.5,1,2021,2334,0,4,0,1,1.1,0,1,2
1724,19,1924,177,57,3,1,1605,0,16,5,3,0.5,3,2020,2822,2,3,0,1,2.0,1,1,3
1977,18,1242,171,54,4,1,1226,0,14,18,1,1.0,7,2017,1971,7,7,1,1,2.0,1,1,2
885,16,802,103,15,1,1,769,1,5,0,5,0.4,10,2020,1410,0,7,0,1,2.3,1,1,0
879,16,1105,83,14,2,1,403,1,2,15,10,0.7,10,2022,349,11,6,1,1,2.5,0,0,0
1322,19,1990,140,7,5,0,177,0,12,9,7,0.8,17,2022,1418,6,3,0,0,1.7,1,1,1
1137,13,1179,196,7,1,0,942,1,12,19,10,1.0,5,2023,3616,18,3,1,1,1.0,1,0,3
1355,19,891,132,23,4,1,651,0,8,16,9,0.2,4,2015,880,10,5,0,1,2.3,1,0,0
1665,18,1684,194,60,4,1,1572,0,14,18,7,0.2,17,2015,1601,3,6,1,1,0.5,0,0,2
657,14,961,141,37,2,0,476,0,18,1,9,0.7,3,2017,1412,0,2,0,0,2.5,1,0,0
593,6,1317,156,31,1,0,1233,0,7,7,8,0.4,2,2017,1692,6,7,0,1,0.5,0,0,1
1883,16,1739,146,10,3,1,836,0,20,13,2,0.3,8,2022,2600,3,6,1,1,0.5,0,0,3
1732,16,881,119,12,1,1,824,1,11,9,1,0.8,7,2015,1308,4,8,1,1,1.1,0,0,1
543,17,984,192,57,4,0,391,0,15,4,7,0.7,14,2016,2413,0,5,0,1,0.5,0,0,1
1939,14,520,199,55,2,1,320,0,18,10,7,0.6,10,2016,1047,0,4,1,1,2.8,1,1,0
553,11,902,121,8,2,1,325,1,8,3,8,0.5,4,2017,1204,1,7,0,1,2.4,1,1,0
832,5,1504,103,39,3,1,125,1,11,3,5,0.7,2,2020,1799,2,4,0,1,0.7,0,1,1
1661,12,1634,172,23,2,0,846,1,11,10,3,1.0,6,2015,2676,5,5,0,0,1.9,1,1,3
1657,18,1796,198,42,2,0,1770,0,14,16,8,0.1,1,2016,2597,3,5,1,1,2.4,0,0,3
1135,19,1846,83,46,2,0,293,1,9,4,6,0.3,17,2015,3029,0,1,1,1,2.0,1,1,3
1775,19,1869,163,41,2,0,1633,1,14,7,3,0.1,13,2019,2343,3,1,1,1,1.5,1,0,3
783,16,1471,106,43,2,1,1198,0,18,4,1,1.0,4,2021,2016,0,3,0,1,1.8,1,1,1
617,18,874,199,32,4,0,768,0,7,20,3,0.5,13,2022,2213,0,7,1,0,2.3,0,0,1
867,13,1974,135,4,1,1,70,0,3,1,5,0.7,6,2015,790,0,6,0,1,1.4,1,1,0
1310,8,513,194,7,5,0,117,0,5,14,3,1.0,4,2021,3182,13,5,1,1,1.1,1,1,2
1804,9,1244,153,22,2,1,1158,1,20,19,1,0.6,1,2019,3472,9,7,0,1,0.5,0,0,3
1900,12,1661,89,18,5,1,1055,1,13,9,5,0.2,1,2015,2871,1,7,1,1,2.3,1,0,3
909,12,973,82,53,5,0,635,0,4,0,10,0.3,9,2017,3187,0,8,1,1,1.4,0,0,2
1084,15,771,107,40,4,1,322,0,10,11,7,0.9,4,2021,1945,3,3,1,1,2.6,1,0,1
1308,5,989,199,46,2,0,275,0,9,12,7,0.9,3,2015,488,8,1,0,0,1.3,1,1,0
1778,5,1954,102,15,5,0,1445,0,14,0,9,0.5,0,2021,1214,0,3,0,1,0.5,0,0,1
1701,12,1338,194,10,2,0,550,0,6,7,10,0.3,9,2019,2598,3,8,1,0,1.6,1,1,2
772,18,1712,80,10,3,1,1242,0,4,2,10,0.5,11,2015,3242,1,4,1,1,2.4,1,1,3
825,10,863,130,52,3,0,597,0,6,10,3,0.9,4,2015,3534,7,3,1,0,0.5,1,1,3
1379,5,1376,200,36,3,1,538,1,17,7,7,0.8,4,2015,3426,5,2,0,1,1.1,1,0,3
1166,13,1203,198,25,5,1,59,0,15,4,1,0.8,5,2023,2488,3,5,0,1,2.0,0,0,2
1659,19,902,89,16,3,0,819,1,9,20,4,0.6,14,2017,3255,5,1,0,0,2.8,0,0,3
826,9,786,88,58,4,1,179,1,18,1,4,0.3,3,2019,2863,0,4,1,1,2.4,0,1,2
1564,6,1965,189,25,4,1,1259,1,7,17,5,0.5,4,2023,1496,4,6,0,1,2.3,1,0,1
1957,12,1732,181,31,5,0,396,1,7,16,7,0.6,0,2020,3801,11,3,0,1,0.9,0,1,3
1571,12,1398,100,19,2,1,713,0,13,1,7,0.1,10,2023,666,0,6,0,1,1.4,1,0,0
1414,17,829,99,54,1,0,262,1,7,3,4,0.8,7,2022,3799,2,7,0,1,2.0,0,1,3
1790,7,792,184,2,2,0,622,1,20,14,7,0.1,0,2022,1366,9,1,0,1,2.5,1,1,1
645,12,580,197,41,2,0,327,1,4,10,3,1.0,9,2015,2962,1,7,0,1,0.5,1,0,2
668,10,1056,195,30,2,0,522,1,7,12,6,0.2,5,2023,2399,7,8,0,1,2.9,1,1,1
1652,12,1264,89,36,2,0,313,0,20,5,2,0.7,8,2020,2338,1,4,1,0,1.1,0,1,2
1213,12,1248,108,16,1,0,226,1,9,0,10,0.5,3,2023,2700,0,5,1,0,0.5,0,0,2
1272,19,669,133,22,3,0,605,0,4,8,9,0.9,4,2017,2235,0,6,1,1,2.5,0,1,1
866,12,1686,179,46,2,1,692,1,2,7,5,0.5,11,2017,3825,5,8,0,1,0.5,1,1,3
536,12,1539,182,3,4,1,1386,0,4,14,6,0.3,9,2020,284,12,7,0,1,2.4,1,1,0
523,9,1042,155,14,5,0,304,0,9,2,4,0.1,1,2023,1427,1,8,0,0,2.6,1,1,0
1753,17,1926,134,31,5,1,1590,1,17,18,10,0.1,0,2021,1324,0,1,0,1,0.5,0,1,2
1218,17,616,147,14,4,1,229,0,5,4,7,0.5,0,2017,398,1,3,0,1,1.8,0,1,0
1537,18,1131,137,43,2,1,839,1,17,5,9,0.3,17,2017,3685,4,1,1,1,2.5,1,0,3
786,12,1697,141,33,1,0,507,1,5,6,7,0.5,11,2016,2390,0,7,0,1,2.2,0,1,2
1678,19,536,134,64,3,1,436,0,10,11,1,0.9,0,2023,278,3,3,0,1,2.1,1,0,0
1814,18,786,141,9,5,1,756,0,16,2,1,0.4,12,2017,3556,1,2,0,1,1.4,0,1,3
1101,12,1269,148,31,3,0,387,1,19,7,9,0.2,6,2019,2196,0,2,0,0,1.8,1,0,1
1461,16,1298,141,40,1,1,1265,0,4,4,9,0.5,1,2023,3799,3,7,0,1,2.4,0,1,3
1216,13,1967,199,47,5,0,1852,1,4,7,4,0.4,5,2022,2268,4,3,0,0,3.0,1,0,2
506,13,1025,159,41,3,1,875,0,15,7,9,0.8,10,2016,2965,6,1,0,1,1.6,0,0,2
843,10,800,147,56,1,1,140,1,20,17,3,0.1,1,2017,2341,1,5,1,1,0.5,1,0,1
742,16,1359,190,56,3,0,577,1,12,14,7,0.2,11,2016,3557,4,7,0,0,2.2,1,1,3
1692,16,1996,176,61,2,1,975,0,19,12,6,0.9,7,2022,1354,3,6,1,1,2.1,0,0,1
1485,19,1013,84,32,1,1,510,0,11,9,8,0.7,1,2020,2147,2,2,0,1,1.0,1,0,2
1547,12,590,166,45,3,0,583,1,3,8,9,0.7,2,2020,505,6,2,0,0,2.9,1,1,0
1692,16,1925,139,46,2,1,674,0,6,6,5,0.9,10,2023,1394,4,1,0,1,2.3,1,1,1
637,18,1989,97,60,2,1,1125,1,8,4,1,0.8,4,2022,374,3,4,0,1,2.3,0,0,0
1224,10,826,109,6,1,1,747,1,11,18,3,0.4,0,2018,506,16,6,0,1,0.5,1,0,0
1356,17,1983,198,29,4,0,1612,0,19,0,10,0.5,0,2018,3702,0,6,0,0,2.8,0,0,3
1840,8,1545,142,34,5,0,311,0,10,16,8,0.7,0,2023,1078,12,1,0,0,0.5,0,1,1
1481,10,1533,96,37,1,1,116,1,16,13,6,0.6,5,2015,2945,4,5,1,1,0.7,1,1,2
961,15,621,152,51,2,0,554,1,7,16,8,0.3,6,2016,2981,10,6,1,1,1.5,1,1,2
1296,7,1272,124,14,2,1,811,1,4,3,9,0.5,1,2016,490,0,5,0,1,0.9,1,1,0
1193,17,1729,166,26,1,0,730,1,4,20,4,0.5,14,2020,536,11,1,0,1,0.9,0,0,0
1441,16,1071,118,3,4,1,577,1,7,17,1,0.1,4,2018,2317,11,8,0,1,2.1,0,1,2
517,17,974,183,33,5,1,660,1,11,8,1,0.8,16,2017,3704,3,4,0,1,1.4,0,1,3
748,18,1554,150,27,3,1,450,0,7,4,10,0.9,9,2017,2126,0,8,1,1,1.7,0,0,1
1126,7,1611,160,10,1,1,1223,1,12,3,4,0.4,6,2017,2050,2,6,1,1,2.4,1,0,2
1572,12,1937,157,58,5,1,1109,0,10,8,7,0.2,8,2020,2462,0,7,0,1,0.6,0,0,3
1569,9,1942,110,44,5,0,45,0,17,20,2,0.3,2,2022,1260,17,4,0,1,2.8,0,1,1
1270,5,845,101,32,2,1,299,0,13,6,3,0.5,3,2021,3770,2,7,1,1,0.6,1,1,3
1854,17,627,101,8,3,1,506,0,20,5,1,0.1,4,2018,1886,2,5,0,1,3.0,1,0,1
625,9,842,183,10,1,1,635,1,7,8,5,0.2,1,2018,3323,5,4,1,1,1.2,1,1,2
1577,19,1737,197,42,2,1,1045,0,12,4,1,0.3,6,2016,2060,0,5,0,1,0.5,0,1,2
534,16,1199,189,16,2,1,393,0,20,1,8,1.0,12,2015,3926,0,5,0,1,0.5,0,1,3
946,7,1740,143,25,4,1,650,1,13,15,1,0.8,5,2023,2177,8,6,0,1,1.7,1,1,2
685,14,648,93,29,5,0,433,1,4,10,1,0.8,8,2016,728,2,7,0,0,0.5,0,0,0
1949,14,1136,101,23,1,0,839,0,20,1,2,0.1,8,2022,2478,0,5,0,1,1.3,0,1,3
947,16,1220,197,22,1,1,1176,0,2,13,2,0.1,12,2023,2842,0,2,0,1,0.8,0,1,2
801,17,879,165,63,1,0,650,1,19,4,6,0.4,4,2018,1617,2,7,1,0,2.2,0,1,1
703,14,1065,113,30,2,1,218,0,7,20,7,0.3,7,2022,1472,12,1,1,1,2.7,0,0,0
1165,19,831,178,41,4,0,564,0,15,12,5,0.2,12,2023,764,11,6,1,1,2.4,0,0,0
1082,6,1191,198,38,3,0,986,1,17,5,1,0.1,1,2019,2337,0,8,0,0,0.8,1,0,2
959,16,1631,84,20,2,0,561,0,6,19,1,1.0,1,2021,3965,15,4,1,1,2.6,0,1,3
1502,17,588,138,54,3,0,65,0,16,12,3,0.2,14,2018,3693,0,5,1,1,1.2,1,0,3
1380,13,500,92,4,4,1,420,0,15,13,2,0.8,2,2015,797,1,3,1,1,2.1,1,1,0
1266,11,1698,95,5,5,1,1365,0,18,9,5,0.1,0,2017,1687,0,6,0,1,0.5,0,0,2
1934,13,1299,103,46,1,1,619,1,2,17,10,0.1,9,2019,2940,0,1,1,1,2.6,1,1,3
1905,9,898,151,6,3,1,849,0,10,5,6,0.5,5,2017,1545,3,1,1,1,0.5,1,0,1
1831,17,1381,150,43,2,0,611,1,13,5,7,0.9,7,2021,3834,2,5,0,1,1.4,1,1,3
596,15,984,165,46,3,0,953,0,15,18,4,0.6,4,2023,2505,8,1,0,1,1.4,1,0,1
1562,12,1533,190,7,5,1,642,0,6,15,7,0.2,10,2020,2243,1,5,1,1,1.3,0,1,2
1490,17,1464,150,64,1,1,1417,1,7,8,8,0.3,9,2015,3600,4,8,1,1,0.5,1,1,3
1523,18,539,117,57,3,1,247,1,10,6,1,0.2,12,2021,3971,5,2,1,1,2.4,1,0,3
640,7,1179,163,20,5,0,710,0,18,15,6,0.1,5,2017,2844,0,4,0,1,0.6,1,0,2
1526,18,751,117,23,2,1,718,0,3,8,8,0.2,10,2019,2227,1,7,0,1,2.1,1,0,2
1989,17,1497,94,41,4,1,1100,1,12,13,5,0.8,9,2018,1665,0,3,0,1,2.5,1,1,2
1308,15,1215,106,61,2,1,59,1,4,7,4,0.7,2,2019,3355,0,3,0,1,1.9,0,0,3
609,11,1948,93,26,1,0,938,1,14,4,2,0.3,10,2019,1866,3,4,0,1,0.5,1,0,1
1905,13,1542,119,36,2,1,825,0,16,20,6,0.4,4,2020,1287,9,3,0,1,0.6,0,1,1
1703,5,1235,192,22,2,1,286,1,13,0,6,0.6,4,2020,1046,0,1,1,1,0.5,0,0,0
1445,7,1345,173,20,2,1,1273,1,13,15,1,0.4,4,2022,1441,7,7,1,1,2.4,1,1,1
1087,14,589,166,16,2,1,295,1,6,9,9,0.3,6,2022,690,0,3,0,1,1.3,0,0,0
671,6,1182,105,30,1,0,852,0,15,17,6,0.7,4,2023,2504,10,7,0,1,0.9,0,1,2
1472,19,1052,168,61,5,0,710,0,8,19,3,0.1,15,2022,2677,6,6,1,1,2.3,0,0,2
765,11,1429,115,47,3,1,1277,1,4,1,4,0.3,7,2016,2243,0,8,0,1,0.5,0,1,2
1642,13,873,171,8,4,1,129,1,17,17,4,0.3,4,2015,2984,16,6,0,1,0.5,0,1,2
1265,5,836,182,49,3,0,690,1,12,16,3,0.7,0,2016,1362,7,5,0,0,1.5,0,0,1
664,19,1478,110,51,3,1,701,1,6,4,10,0.1,15,2016,3629,1,7,1,1,1.1,1,1,3
1277,18,1460,142,35,4,1,309,0,6,6,3,0.4,17,2017,3559,0,6,1,1,0.5,1,1,3
1395,11,705,111,23,1,0,213,1,13,1,3,0.1,0,2021,2571,0,3,0,1,1.8,0,1,2
1539,15,1666,159,41,4,0,1112,1,10,0,4,0.1,9,2016,2107,0,8,1,1,2.6,0,0,2
1049,11,1077,135,63,1,0,199,0,13,17,7,0.5,3,2015,1022,9,5,1,0,2.2,0,0,0
1827,14,1020,128,39,3,1,55,0,10,16,4,0.5,9,2020,2844,4,5,0,1,1.7,1,0,2
903,9,1235,91,50,1,1,1230,0,10,0,9,0.4,5,2023,711,0,1,0,1,1.0,1,1,0
1987,18,1516,181,53,5,1,1052,1,8,7,1,1.0,5,2017,3117,3,3,1,1,0.5,1,0,3
1154,5,1499,181,49,4,1,541,1,7,2,8,0.2,3,2020,978,0,8,0,1,1.2,0,1,0
1336,13,583,194,17,5,1,55,1,16,9,7,0.2,1,2017,1869,5,5,0,1,0.9,1,0,1
1886,16,1958,112,24,3,1,809,1,20,1,2,0.4,7,2015,1179,0,3,0,1,0.5,0,0,1
1551,11,1995,88,51,4,0,1738,0,4,6,8,0.1,8,2019,3844,4,5,0,0,1.1,1,0,3
850,19,642,133,29,3,1,404,1,10,19,1,0.5,17,2018,593,6,5,1,1,1.6,0,1,0
660,6,1178,111,40,5,1,262,1,18,10,9,0.5,5,2021,588,5,2,0,1,0.5,1,0,0
1225,12,1404,116,13,3,0,759,0,11,12,9,0.5,11,2020,3836,8,4,1,0,2.1,0,1,3
1452,12,1040,123,25,4,1,42,0,13,11,2,0.9,10,2021,2669,1,6,1,1,0.5,0,1,2
1686,14,1453,166,38,4,0,397,0,2,4,7,0.1,11,2019,2958,3,4,1,0,2.8,0,1,3
1634,11,1677,200,17,3,1,964,1,6,5,10,0.2,6,2018,3031,1,2,1,1,1.4,1,0,3
1708,6,517,109,49,4,1,233,1,16,19,3,0.1,4,2021,3388,18,1,1,1,2.4,1,1,3
1151,18,1560,128,31,4,0,1022,0,13,1,7,0.6,8,2021,2377,0,8,1,0,2.9,1,1,2
1578,19,1226,138,37,3,1,411,1,3,19,10,0.1,16,2020,2458,2,4,0,1,1.9,0,1,2
1689,7,1200,127,24,5,0,954,1,7,18,9,0.3,2,2022,2766,17,3,0,0,1.8,1,0,3
1488,14,1647,112,39,4,0,1528,0,19,6,4,0.8,10,2018,3054,1,5,0,0,0.5,0,0,3
1313,11,1308,105,9,4,0,416,1,6,6,1,0.4,10,2019,3791,4,1,1,0,1.8,1,1,3
1715,17,1615,83,31,4,1,638,0,13,17,2,0.5,6,2018,625,4,8,0,1,1.0,0,1,0
1442,6,687,192,27,4,0,231,0,20,19,1,0.1,5,2015,2227,0,3,0,1,1.0,1,1,1
528,9,637,142,6,3,1,574,0,6,15,5,0.8,8,2022,3256,12,2,0,1,1.7,1,0,2
1523,19,1606,129,11,5,1,148,0,19,8,5,0.1,8,2015,707,6,1,1,1,1.8,1,0,0
1133,18,1543,199,42,5,0,730,1,20,12,7,0.1,12,2019,1457,3,5,0,1,1.4,0,0,1
1718,7,980,183,6,1,1,564,1,8,16,9,0.1,1,2020,3755,14,5,1,1,2.5,1,1,3
1330,9,1441,183,38,4,0,1290,1,11,1,9,1.0,0,2020,1733,0,7,0,1,0.5,0,0,1
1799,12,1383,107,49,4,0,632,1,11,2,3,0.4,2,2019,720,0,4,1,1,0.5,1,0,0
633,11,1009,139,49,1,1,529,1,16,1,3,0.1,1,2017,3560,0,8,1,1,2.2,1,0,2
724,7,1754,187,44,5,0,1273,0,7,0,3,0.5,6,2019,2311,0,7,0,1,2.7,0,1,2
822,10,860,157,51,2,1,667,0,3,20,4,0.3,1,2022,3846,0,6,1,1,0.5,0,0,3
1918,7,1543,110,10,2,0,1170,1,16,10,8,0.6,1,2016,1717,2,5,0,1,1.9,1,0,2
1891,8,1108,129,37,5,1,169,0,11,14,6,0.4,6,2020,3704,7,7,0,1,2.8,0,0,3
1373,8,673,127,50,4,0,105,0,14,12,8,0.2,3,2023,3800,2,7,1,1,1.0,0,1,3
